,Cidade,País,Curso,Empresa dos sonhos,Educação,Nível de inglês,Nível de excel,Cursos extras,Gênero,Interesses,Outras línguas,Referência,Universidade,Estado,Situação
0,campinas,brasil,farmácia,"natura, medley, bayer",graduação,intermediate,basic,inglês pela plataforma my english online (ministério da educação),feminino,"industria, educação, pesquisa e hospitalar",espanhol báscio,através do facebook,unicamp,são paulo,confirmed
1,bragança paulista,brasil,física,,graduação,,,excel avancado (senac),masculino,"financeiro, pesquisa, excel, design thinking e outras correlatas",,facebook,unicamp,são paulo,checkedin
2,campinas,brasil,engenharia de alimentos,,graduação,intermediate,basic,,feminino,pesquisa e desenvolvimento,,amigos,unicamp,são paulo,confirmed
3,campinas,brasil,engenharia mecânica,"tetrapak, ambev",graduação,advanced,intermediate,,masculino,"liderança, mercado financeiro, consutoria",,facebook,unicamp,são paulo,checkedin
4,,,engenharia química,,graduação,,,,masculino,"tecnologia, empresarial e consultoria",,facebook,unicamp,,confirmed
5,campinas,brasil,engenharia mecânica,,graduação,advanced,advanced,excel aplicado à engenharia - do básico ao avançado (lean solutions),feminino,"consultoria, estratégia e gestão, operações",francês avançado,facebook,unicamp,são paulo,confirmed
6,hortolândia,brasil,química tecnológica,,graduação,intermediate,intermediate,,feminino,qualidade,,amigo,unicamp,são paulo,checkedin
7,campinas,brasil,administração,,graduação,advanced,intermediate,,feminino,"recursos humanos, marketing, financeiro, administração","inglês avançado, espanhol intermediário",facebook,unicamp,são paulo,confirmed
8,campinas,brasil,engenharia civil,,doutorado,intermediate,advanced,licenciamento ambiental (senac),feminino,"saneamento, meio ambiente",espanhol (intermediário),amigo,unicamp,são paulo,confirmed
9,campinas,brasil,,laboratorio de engenharia biomedica- usp,ensino médio,basic,intermediate,,feminino,"finaceiro, pesquisas",,amigo,,são paulo,confirmed
10,,,ciências biológicas,,graduação,,,,masculino,pesquisa,,já visitei outras vezes.,unicamp,,confirmed
11,campinas,brasil,engenharia elétrica,movile,graduação,advanced,advanced,cursos da área da udemy,masculino,data science,espanhol intermediário,facebook,unicamp,são paulo,confirmed
12,,,,,ensino médio,,,,masculino,administração,,senac,,,checkedin
13,campinas,brasil,engenharia de controle e automação,,graduação,advanced,intermediate,,masculino,engenharia,espanhol intermediário,facebook,unicamp,são paulo,checkedin
14,,,sistemas de informação,,graduação,,,,masculino,financeiro,,amigos,unasp,,checkedin
15,,,engenharia mecânica,,graduação,,,,masculino,"pesquisa, parte técnica",,facebook,unicamp,,checkedin
16,itu,brasil,engenharia de produção,bcg,graduação,advanced,advanced,,feminino,"consultoria, além de indústrias de alimentos e bens de consumo",,amigos,unicamp,são paulo,checkedin
17,,,engenharia agrícola,,graduação,,,,masculino,"engenharia, consultoria, financeira",,amigo,unicamp,,confirmed
18,valinhos,brasil,engenharia química,,graduação,advanced,intermediate,"general business program (btc), marketing estratégico (fgv), design thinking (inventta innovation institute)",feminino,"consultoria,  planejamento, gestão",,facebook,unicamp,são paulo,confirmed
19,campinas,brasil,ciências biológicas,,graduação,basic,basic,,feminino,pesquisa e análise clínica,,facebook,unesp,são paulo,checkedin
20,campinas,brasil,,,ensino fundamental,basic,,,masculino,pesquisa,,facebook,,são paulo,checkedin
21,louveira,brasil,ciências biológicas,"embrapa, natura, ypê.",graduação,basic,basic,"curso neurociências- ufabc, gestão de pessoas - enap.",feminino,"neurociências,  meio ambiente, gestão de pessoas, coach.","espanhol- básico,  hebraico - básico",facebook,unicamp,são paulo,confirmed
22,jundiaí,brasil,engenharia civil,,graduação,advanced,intermediate,,masculino,"consultoria, construtoras, bancos",,amigo,unicamp,são paulo,checkedin
23,hortolândia,brasil,,honda,ensino médio,basic,intermediate,administração empresarial,masculino,"contabilidade, financeiro, direito, administração empresarial ,economia e engenharia aeronáutica",espanhol básico,unicamp,,são paulo,confirmed
24,hortolândia,brasil,arquitetura e urbanismo,"honda , ems , sansung , ambev",graduação,basic,advanced,,feminino,"relações públicas,comercial ,  auxiliar administrativo , arquitetura .",espanhol avançado,facebook,faculdade anhanguera - campinas,são paulo,confirmed
25,limeira,brasil,administração,robert bosch gmbh,graduação,basic,intermediate,,feminino,"comércio exterior, planejamento estratégico, marketing nas áreas da administração, consultoria, recursos humanos.. entre outros.",espanhol nível básico,facebook,unicamp,são paulo,checkedin
26,hortolândia,brasil,engenharia de produção,,graduação,intermediate,advanced,,feminino,"gestão de qualidade, melhoria contínua, processos, gestão de produção, projetos",,e-mail,universidade são francisco,são paulo,confirmed
